Partidos,Equipos locales,Equipos visitantes,Cuotas locales,Cuotas visitantes,Ganador
New York Knicks - Phoenix Suns,New York Knicks,Phoenix Suns,1.91,1.95,New York Knicks
Charlotte Hornets - Los Angeles Lakers,Charlotte Hornets,Los Angeles Lakers,1.95,1.91,Los Angeles Lakers
Cleveland Cavaliers - Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,1.65,2.35,Cleveland Cavaliers
Indiana Pacers - Toronto Raptors,Indiana Pacers,Toronto Raptors,1.71,2.25,Indiana Pacers
Philadelphia 76ers - New Orleans Pelicans,Philadelphia 76ers,New Orleans Pelicans,1.5,2.8,Philadelphia 76ers
Brooklyn Nets - San Antonio Spurs,Brooklyn Nets,San Antonio Spurs,1.1,9,Brooklyn Nets
Houston Rockets - Dallas Mavericks,Houston Rockets,Dallas Mavericks,3.5,1.35,Dallas Mavericks
Minnesota Timberwolves - Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,2.25,1.69,Denver Nuggets
Golden State Warriors - Atlanta Hawks,Golden State Warriors,Atlanta Hawks,1.7,2.35,Golden State Warriors
Portland Trail Blazers - Detroit Pistons,Portland Trail Blazers,Detroit Pistons,1.22,4.6,Portland Trail Blazers
LA Clippers - Miami Heat,LA Clippers,Miami Heat,1.56,2.6,LA Clippers
